ТЕМА,ТИП КОНТЕНТУ,Рубрика,ОПИС/примітки,ДАТА ПУБЛІКАЦІЇ (План),Посилання на пост,Статус
"Доставка труб без затримок
",Пост,Інформаційний,"Показ процесу вивантаження, акцент на злагоджену логістику, швидкість реакції та контроль термінів.",22.07.2025,https://www.instagram.com/reel/DMa2SluoJE0/?igsh=OWw3c3gzcXJ6MmZh,Опубліковано
"Яка різниця між ПЕ-оболонкою і оцинкованою?
",Пост,Інформаційний,"Порівняння. Де краще використовувати поліетиленову, а де - оцинковану оболонку, їхні властивості та стійкість.",25.07.2025,https://www.instagram.com/p/DMqPRaCoLvT/?igsh=aXVhZGY0cGpqN2M2,Опубліковано
Демонстрація реалізованого проєкту ,Пост,Інформаційний,"Фото/відео з об’єкта + короткий опис задачі, складності, реалізації.",28.07.2025,https://www.instagram.com/reel/DMqPVpIIG4p/?igsh=MWxvaWQ1MTJxaGZmdA==,Опубліковано
Як працює пінозаливочна машина,Пост,Інформаційний,"Відео: змішування компонентів, заливка",31.07.2025,https://www.instagram.com/reel/DMxZ8S9o_PI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Опубліковано
Що всередині ПІТ,Пост,Інформаційний,Розріз труби або інфографіка з поясненням кожного шару,05.08.2025,https://www.instagram.com/reel/DNAggo4ojqh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Опубліковано
Демонстрація реалізованого проєкту ,Пост,Інформаційний,"Фото/відео з об’єкта + короткий опис задачі, складності, реалізації.",08.08.2025,,Опубліковано
Що таке сендвіч-труба і коли вона потрібна,Пост,Інформаційний,"Пояснення, чим сендвіч-труба відрізняється від стандартної, в яких випадках її використовують",11.08.2025,,Опубліковано
Демонстрація реалізованого проєкту ,Пост,Інформаційний,"Фото/відео з об’єкта + короткий опис задачі, складності, реалізації.",19.08.2025,,Опубліковано
Як уникнути помилок при монтажі ПІТ,Пост,Інформаційний,Ключові монтажні нюанси,22.08.2025,,Опубліковано
Демонстрація реалізованого проєкту ,Пост,Інформаційний,,,,Опубліковано
,,,,,,
ВЕРЕСЕНЬ:,,,,,,
ТЕМА,ТИП КОНТЕНТУ,Рубрика,ОПИС/примітки,ДАТА ПУБЛІКАЦІЇ (План),Посилання на пост,Статус
Дослідження корозії металу в трубопроводах: методи і наслідки,Пост,Інформаційний,"Варто показати, як саме корозія впливає на пропускну здатність труб, чому це призводить до втрат енергії та аварій",03.09.2025,,Опубліковано
Демонстрація реалізованого проєкту,Рілс/Тік Ток,Інформаційний,,05.09.2025,,Опубліковано
"Установка трійників, колін та переходів",Пост,Інформаційний,У дописі доцільно показати процес монтажу фасонних елементів,09.09.2025,,Опубліковано
Європейський досвід: будівництво мереж у розвинених країнах,Пост,Інформаційний,У дописі можна подати огляд європейських практик,12.09.2025,,Опубліковано
Демонстрація реалізованого проєкту,Рілс/Тік Ток,Інформаційний,,16.09.2025,,Опубліковано
Нормативи для попередньо ізольованих труб,Пост,Інформаційний,"Показати, які стандарти й ДСТУ регламентують виробництво та монтаж ПІТ",19.09.2025,,Не опубліковано
Демонстрація реалізованого проєкту,Рілс/Тік Ток,Інформаційний,,23.09.2025,,Не опубліковано
Як оптимізувати витрати на проєкт,Пост,Інформаційний,Варто показати основні підходи до економії без втрати якості,25.09.2025,,Не опубліковано
Демонстрація реалізованого проєкту,Рілс/Тік Ток,Інформаційний,,29.09.2025,,Не опубліковано
Перспективи розвитку тепломереж України,Пост,Інформаційний,Варто висвітлити основні тренди,30.09.2025,,Не опубліковано
,,,,,,
ТЕМА,ТИП КОНТЕНТУ,Рубрика,ОПИС/примітки,ДАТА ПУБЛІКАЦІЇ (План),Посилання на пост,Статус
Монтаж у важких кліматичних та геологічних умовах.,Пост,Інформаційний,"Показати особливості монтажу попередньо ізольованих труб при 
екстремальних температурах, високій вологості, складному ґрунті 
або нестабільному рельєфі. Описати спеціальні технології та інструменти 
Mida Energy, що забезпечують надійне встановлення навіть в 
найскладніших умовах",07.10.2025,,Не опубліковано
Демонстрація реалізованого проєкту,Пост,Інформаційний,,10.10.2025,,Не опубліковано
Порівняння матеріалів теплоізоляції,Пост,Інформаційний,"Представити детальне зіставлення пінополіуретану, 
мінеральної вати, спіненого поліетилену та інших 
ізоляційних матеріалів за теплопровідністю, 
вологостійкістю та довговічністю. Обґрунтувати переваги 
ППУ-ізоляції, що використовується у продукції 
Mida Energy, через конкретні технічні характеристики.",14.10.2025,,Опубліковано
Демонстрація реалізованого проєкту,Пост,Інформаційний,,16.10.2025,,Не опубліковано
Розробка спецзамовлень,Рілс/Тік Ток,Інформаційний,"Описати процес створення індивідуальних рішень 
для нестандартних проектів: від технічного завдання 
до фінальної поставки. Продемонструвати гнучкість 
Mida Energy у вирішенні складних інженерних завдань 
через приклади реалізованих унікальних проектів.",20.10.2025,,Не опубліковано
Тепловтрати та їх приховані впливи на комунальну інфраструктуру міста.,Пост,Інформаційний,"Розкрити масштаб проблеми тепловтрат у цифрах: 
скільки міста втрачають коштів щорічно через застарілі 
тепломережі. Показати каскадний ефект впливу 
неефективних труб на всю інфраструктуру: від 
підвищення тарифів до екологічних наслідків.",22.10.2025,,Не опубліковано
Чи можна самотужки провести аудит тепломереж і коли потрібна допомога профі.,Рілс/Тік Ток,Інформаційний,"Навести простий чек-лист базової діагностики,
яку може провести керівник об'єкта: візуальні 
ознаки проблем, температурні перепади, 
витрата ресурсів. Чітко окреслити межі самостійної 
перевірки та випадки, коли обов'язкове 
звернення до фахівців Mida Energy для 
професійного аудиту.",24.10.2025,,Не опубліковано
Як товщина ізоляції впливає на збереження тепла і витривалість трубопроводу.,Пост,Інформаційний,"Показати математичні розрахунки залежності теплових
 втрат від товщини ізоляційного шару з конкретними 
прикладами економії. Пояснити, чому оптимальна 
товщина ізоляції від Mida Energy забезпечує максимальний 
ефект при мінімальних витратах на обслуговування.",27.10.2025,,Не опубліковано
Демонстрація реалізованого проєкту,Рілс/Тік Ток,Інформаційний,,29.10.2025,,Не опубліковано
"Фактори, що збільшують термін служби ізольованих труб.",Рілс/Тік Ток,Інформаційний,"Розкрити ключові елементи, які впливають на довговічність:
якість матеріалів, правильність монтажу, регулярне 
обслуговування та умови експлуатації. Продемонструвати 
конкретні цифри терміну служби продукції Mida Energy 
порівняно з аналогами та фактори, що можуть його подовжити.",31.10.2025,,Не опубліковано
